date,month,temp_mean_c,temp_range_c,dew_point_c,feels_like_c,rolling_mean_c,is_rain_day,is_frost_day
2025-07-30,2025-07,13.55,6.5,8.76,10.69,17.15,1,0
2025-07-31,2025-07,17.5,9.4,11.46,14.15,17.14,0,0
2025-08-01,2025-08,16.7,4.4,12.74,14.79,16.43,0,0
2025-08-02,2025-08,16.0,5.4,11.87,12.71,16.14,1,0
2025-08-03,2025-08,17.6,8.0,12.28,15.0,16.58,1,0
2025-08-04,2025-08,14.2,8.0,10.11,11.42,16.5,0,0
2025-08-05,2025-08,17.45,8.1,13.13,14.96,16.56,1,0
2025-08-06,2025-08,16.6,7.2,9.87,12.68,16.96,0,0
2025-08-07,2025-08,16.95,5.3,11.59,13.52,15.89,0,0
2025-08-08,2025-08,17.1,9.4,11.28,13.3,16.07,1,0
2025-08-09,2025-08,18.85,7.9,14.87,13.73,15.55,0,0
2025-08-10,2025-08,10.1,7.6,8.94,6.7,15.74,0,0
2025-08-11,2025-08,15.45,7.5,11.71,13.51,15.21,1,0
2025-08-12,2025-08,13.8,7.6,11.07,11.62,15.58,0,0
2025-08-13,2025-08,17.9,8.6,13.26,16.99,15.2,1,0
2025-08-14,2025-08,13.25,6.3,9.5,9.56,16.38,0,0
2025-08-15,2025-08,19.7,8.8,12.53,19.18,16.0,0,0
2025-08-16,2025-08,16.2,5.2,11.29,13.65,16.06,0,0
2025-08-17,2025-08,18.35,9.3,13.12,18.0,15.81,0,0
2025-08-18,2025-08,12.8,7.0,6.78,7.76,16.34,0,0
2025-08-19,2025-08,14.25,6.9,7.58,9.62,16.04,0,0
2025-08-20,2025-08,16.15,4.7,11.26,12.89,15.86,0,0
2025-08-21,2025-08,16.95,6.9,10.14,15.21,15.65,1,0
2025-08-22,2025-08,17.55,6.5,13.33,15.05,15.81,1,0
2025-08-23,2025-08,15.0,8.4,9.27,11.31,15.96,0,0
2025-08-24,2025-08,16.85,8.5,11.26,11.28,16.15,1,0
2025-08-25,2025-08,13.95,9.1,8.57,9.56,15.07,0,0
2025-08-26,2025-08,15.3,8.2,9.25,10.23,14.16,1,0
2025-08-27,2025-08,17.45,6.7,13.86,15.32,13.81,1,0
2025-08-28,2025-08,9.4,6.0,5.89,6.44,13.09,1,0
2025-08-29,2025-08,11.15,9.1,6.77,7.97,12.84,1,0
2025-08-30,2025-08,12.55,7.3,6.82,7.77,12.51,0,0
2025-08-31,2025-08,11.85,9.1,8.95,7.23,11.6,0,0
2025-09-01,2025-09,12.15,6.5,9.49,8.19,11.96,0,0
2025-09-02,2025-09,13.05,4.9,8.32,7.57,12.17,1,0
2025-09-03,2025-09,11.05,5.1,6.45,6.11,12.2,0,0
2025-09-04,2025-09,11.9,6.2,8.69,8.86,12.34,0,0
2025-09-05,2025-09,12.65,6.3,9.46,10.65,12.73,0,0
2025-09-06,2025-09,12.75,7.5,11.6,10.24,12.61,1,0
2025-09-07,2025-09,12.85,6.9,9.13,9.05,12.65,1,0
2025-09-08,2025-09,14.85,7.1,11.62,13.24,11.74,0,0
2025-09-09,2025-09,12.2,4.8,9.25,7.63,11.48,0,0
2025-09-10,2025-09,11.35,6.1,7.08,6.47,12.09,0,0
2025-09-11,2025-09,5.55,9.1,2.77,0.55,11.91,0,0
2025-09-12,2025-09,10.8,7.4,6.41,5.71,11.73,0,0
2025-09-13,2025-09,17.05,8.5,12.29,15.58,11.49,0,0
2025-09-14,2025-09,11.6,7.2,8.81,6.75,11.49,1,0
2025-09-15,2025-09,13.55,6.5,9.5,9.63,12.39,0,0
2025-09-16,2025-09,10.5,5.0,5.53,4.33,12.04,0,0
2025-09-17,2025-09,11.35,9.1,10.5,11.03,11.09,0,0
2025-09-18,2025-09,11.9,4.6,5.13,7.86,11.09,1,0
2025-09-19,2025-09,8.3,6.8,4.58,4.12,11.01,0,0
2025-09-20,2025-09,10.4,4.2,8.11,4.65,10.95,0,0
2025-09-21,2025-09,11.65,5.3,7.54,8.14,10.99,1,0
2025-09-22,2025-09,13.0,6.6,9.94,11.12,10.81,1,0
2025-09-23,2025-09,10.05,9.1,6.59,8.27,10.81,0,0
2025-09-24,2025-09,11.6,5.0,7.61,9.37,10.53,1,0
2025-09-25,2025-09,10.7,5.0,8.25,4.58,10.67,1,0
2025-09-26,2025-09,8.3,8.0,5.82,4.41,10.39,0,0
2025-09-27,2025-09,8.4,8.0,5.56,4.26,10.41,0,0
2025-09-28,2025-09,12.65,4.3,8.47,11.91,10.32,0,0
2025-09-29,2025-09,11.0,6.6,6.17,6.81,10.31,1,0
2025-09-30,2025-09,10.2,5.6,6.59,6.36,9.9,0,0
2025-10-01,2025-10,11.0,5.8,6.33,8.01,9.94,0,0
2025-10-02,2025-10,10.65,5.1,6.69,8.09,9.31,0,0
2025-10-03,2025-10,5.4,5.4,2.12,1.82,9.27,0,0
2025-10-04,2025-10,8.65,4.7,4.12,1.87,9.66,1,0
2025-10-05,2025-10,8.25,5.1,4.51,2.46,9.29,0,0
2025-10-06,2025-10,10.75,7.1,7.46,6.85,9.63,0,0
2025-10-07,2025-10,12.9,7.0,7.35,8.22,10.47,1,0
2025-10-08,2025-10,8.45,9.1,5.97,5.17,10.21,1,0
2025-10-09,2025-10,13.0,8.4,8.69,9.54,10.04,0,0
2025-10-10,2025-10,11.3,4.4,6.74,5.7,9.55,0,0
2025-10-11,2025-10,6.85,8.7,3.32,1.61,8.49,1,0
2025-10-12,2025-10,7.05,4.7,4.82,-0.24,8.69,0,0
2025-10-13,2025-10,7.3,5.6,4.69,2.59,8.0,0,0
2025-10-14,2025-10,5.5,9.4,4.67,1.2,7.19,0,0
2025-10-15,2025-10,9.8,9.4,6.7,4.68,7.19,0,0
2025-10-16,2025-10,8.2,9.4,4.97,4.06,7.36,1,0
2025-10-17,2025-10,5.65,7.5,4.93,0.14,7.08,1,0
2025-10-18,2025-10,6.85,9.5,4.87,2.04,6.76,0,0
2025-10-19,2025-10,8.2,6.6,4.24,2.03,6.97,1,0
2025-10-20,2025-10,5.35,7.5,4.09,2.16,6.59,1,0
2025-10-21,2025-10,3.3,8.4,0.52,-0.84,7.18,0,1
2025-10-22,2025-10,11.25,5.7,7.33,6.37,7.12,0,0
2025-10-23,2025-10,5.55,7.9,1.58,0.21,7.03,0,0
2025-10-24,2025-10,9.75,5.7,4.89,5.84,6.79,1,0
2025-10-25,2025-10,6.45,6.9,2.53,1.81,7.56,1,0
2025-10-26,2025-10,7.55,8.7,3.61,2.58,6.57,1,0
2025-10-28,2025-10,3.65,6.5,1.61,-2.09,6.37,0,0
2025-10-29,2025-10,8.75,7.7,2.69,2.0,5.4,0,0
2025-10-30,2025-10,4.3,7.2,1.11,0.17,5.43,0,0
2025-10-31,2025-10,4.15,5.3,1.92,-2.75,5.23,1,0
2025-11-01,2025-11,2.95,7.9,0.5,-2.99,5.66,1,1
2025-11-02,2025-11,6.65,5.3,3.94,1.82,5.29,1,0
2025-11-03,2025-11,6.15,5.1,2.33,2.04,5.14,1,0
2025-11-04,2025-11,6.7,4.6,3.01,-0.17,5.86,0,0
2025-11-05,2025-11,6.15,4.9,3.08,3.73,6.02,0,0
2025-11-06,2025-11,3.2,4.2,0.53,-1.49,5.06,1,0
2025-11-07,2025-11,9.2,7.6,3.97,5.08,4.48,0,0
2025-11-08,2025-11,4.1,4.4,2.15,2.06,3.64,1,0
2025-11-09,2025-11,-0.05,4.7,-4.19,-4.52,2.79,0,1
2025-11-10,2025-11,2.05,4.9,0.77,-5.71,3.07,0,1
2025-11-11,2025-11,0.85,4.5,-1.08,-6.69,2.04,0,1
2025-11-12,2025-11,0.15,7.3,-2.37,-5.48,1.83,0,1
2025-11-13,2025-11,5.2,5.4,2.38,1.94,2.17,1,0
2025-11-14,2025-11,2.0,4.2,-0.16,-1.16,1.96,1,1
2025-11-15,2025-11,2.6,4.0,1.51,-1.02,2.64,0,0
2025-11-16,2025-11,2.35,5.7,-0.17,-2.64,3.18,0,1
2025-11-17,2025-11,0.6,6.2,-3.1,-5.32,2.84,0,1
2025-11-18,2025-11,5.6,6.8,3.61,2.32,3.36,0,0
2025-11-19,2025-11,3.9,9.0,2.11,-2.93,3.51,0,1
2025-11-20,2025-11,2.8,8.6,-0.15,-2.05,3.81,0,1
2025-11-21,2025-11,5.65,6.9,1.74,-0.5,4.59,0,0
2025-11-22,2025-11,3.7,6.0,0.78,-1.24,4.19,1,0
2025-11-23,2025-11,4.4,4.4,3.2,-0.02,3.91,1,0
2025-11-24,2025-11,6.05,4.9,1.71,0.44,4.21,1,0
2025-11-25,2025-11,2.8,6.8,0.85,-0.79,3.45,0,1
2025-11-26,2025-11,1.95,4.9,0.98,-2.78,2.86,1,1
2025-11-27,2025-11,4.9,9.2,2.34,0.11,2.44,0,0
2025-11-28,2025-11,0.35,5.9,-2.31,-3.89,2.33,0,1
2025-11-29,2025-11,-0.45,7.3,-3.83,-6.3,1.65,0,1
2025-11-30,2025-11,1.5,4.6,-0.28,-3.85,2.01,0,1
2025-12-01,2025-12,5.25,9.3,2.52,2.07,1.65,0,0
2025-12-02,2025-12,-1.95,9.1,-2.74,-7.04,2.18,0,1
2025-12-03,2025-12,4.5,4.8,1.88,-1.7,2.76,1,0
2025-12-04,2025-12,2.35,4.3,0.94,-4.02,3.09,0,0
2025-12-05,2025-12,4.05,5.9,1.17,-0.42,1.71,1,0
2025-12-06,2025-12,3.6,6.2,0.04,-0.29,2.32,0,0
2025-12-07,2025-12,3.85,7.5,2.11,-0.39,2.16,1,0
2025-12-08,2025-12,-4.4,8.2,-4.93,-11.16,2.06,1,1
2025-12-09,2025-12,2.3,4.6,1.87,-4.06,1.84,0,0
2025-12-10,2025-12,3.35,7.5,2.22,-1.51,2.06,0,1
2025-12-11,2025-12,1.7,7.4,-0.56,-2.8,2.32,1,1
2025-12-12,2025-12,2.45,8.9,-0.92,-2.91,3.11,0,1
2025-12-13,2025-12,5.15,8.1,3.55,0.09,3.36,0,0
2025-12-14,2025-12,5.7,8.0,3.26,-0.01,3.5,0,0
2025-12-15,2025-12,1.1,7.4,-0.83,-5.24,4.16,0,1
2025-12-16,2025-12,4.05,6.5,1.07,-2.32,3.75,1,0
2025-12-17,2025-12,4.35,6.5,1.87,-1.12,3.51,0,0
2025-12-18,2025-12,6.35,4.1,2.0,0.38,3.04,0,0
2025-12-19,2025-12,-0.45,4.3,-1.07,-7.21,2.96,0,1
2025-12-20,2025-12,3.45,5.5,1.28,-2.79,2.55,0,0
2025-12-21,2025-12,2.45,4.9,-0.54,-3.02,2.09,0,0
2025-12-22,2025-12,0.55,7.9,-2.21,-5.3,1.04,1,1
2025-12-23,2025-12,1.15,5.3,-0.35,-4.56,1.63,1,1
2025-12-24,2025-12,1.1,7.2,-1.17,-3.11,1.74,1,1
2025-12-25,2025-12,-1.0,6.6,-1.87,-6.59,1.66,1,1
2025-12-26,2025-12,3.7,7.4,0.31,0.11,1.95,0,0
2025-12-27,2025-12,4.25,7.5,0.79,0.85,1.99,0,0
2025-12-28,2025-12,1.85,6.9,-1.56,-4.2,2.53,1,1
2025-12-29,2025-12,2.6,4.4,0.63,-5.16,3.12,1,0
2025-12-30,2025-12,1.4,5.0,-0.67,-6.59,3.0,0,1
2025-12-31,2025-12,4.9,7.0,2.12,0.84,2.69,1,0
