date,temp_max_c,temp_min_c,humidity_pct,rainfall_mm,wind_kph
2025-07-13,21.3,13.3,68.4,8.2,26.4
2025-07-14,20.7,16.1,74.1,4.1,16.6
2025-07-15,20.7,15.6,75.8,0.0,27.5
2025-07-16,20.9,13.0,63.0,0.0,16.7
2025-07-17,19.1,14.8,84.0,9.7,25.9
2025-07-18,28.4,20.1,68.7,1.9,24.9
2025-07-19,20.8,16.4,62.7,0.2,19.6
2025-07-20,18.3,12.3,71.6,0.0,11.8
2025-07-20,18.3,12.3,71.6,0.0,11.8
2025-07-22,19.8,11.0,65.7,0.0,16.9
2025-07-23,22.6,17.5,72.0,0.0,16.8
2025-07-24,19.8,13.6,75.3,0.0,17.7
2025-07-25,22.3,17.0,71.7,0.0,16.8
2025-07-26,19.6,13.8,86.6,0.0,24.5
2025-07-27,19.8,15.6,79.6,0.6,25.1
2025-07-28,22.1,16.2,55.7,0.0,22.2
2025-07-29,22.4,16.5,64.1,0.0,22.0
2025-07-30,16.8,10.3,72.8,3.1,13.3
2025-07-31,22.2,12.8,67.7,0.0,19.6
2025-08-01,18.9,14.5,77.5,0.0,14.2
2025-08-02,18.7,13.3,76.5,3.1,19.9
2025-08-03,21.6,13.6,71.0,2.1,17.0
2025-08-04,18.2,10.2,76.4,0.0,14.7
2025-08-05,21.5,13.4,75.8,7.6,17.8
2025-08-06,20.2,13.0,64.5,0.0,20.2
2025-08-07,19.6,14.3,70.7,0.0,20.2
2025-08-08,21.8,12.4,68.6,1.0,21.6
2025-08-09,22.8,14.9,77.7,0.0,34.4
2025-08-10,13.9,6.3,92.5,0.0,16.3
2025-08-11,19.2,11.7,78.4,6.1,12.7
2025-08-12,17.6,10.0,83.6,0.0,13.0
2025-08-13,22.2,13.6,74.3,5.9,9.9
2025-08-14,16.4,10.1,78.0,0.0,18.5
2025-08-15,24.1,15.3,63.3,0.0,6.7
2025-08-16,18.8,13.6,72.7,0.0,15.2
2025-08-17,23.0,13.7,71.6,0.0,6.8
2025-08-18,16.3,9.3,66.8,0.0,22.1
2025-08-19,17.7,10.8,64.2,0.0,20.9
2025-08-20,18.5,13.8,72.8,0.0,18.8
2025-08-21,20.4,13.5,64.2,9.5,9.4
2025-08-21,24.6,31.2,61.0,0.0,12.4
2025-08-22,20.8,14.3,76.3,0.5,18.2
2025-08-23,19.2,10.8,68.6,0.0,18.2
2025-08-24,21.1,12.6,69.6,12.9,30.7
2025-08-25,18.5,9.4,70.0,0.0,20.9
2025-08-26,19.4,11.2,67.2,8.7,25.3
2025-08-27,20.8,14.1,79.5,0.6,17.2
2025-08-28,12.4,6.4,78.7,4.3,10.4
2025-08-29,15.7,6.6,74.4,1.1,12.5
2025-08-30,16.2,8.9,68.1,0.0,20.8
2025-08-31,16.4,7.3,82.4,0.0,22.6
2025-09-01,15.4,8.9,83.8,0.0,19.9
2025-09-02,15.5,10.6,73.0,3.8,26.2
2025-09-03,13.6,8.5,73.3,0.0,21.2
2025-09-04,15.0,8.8,80.7,0.0,14.1
2025-09-05,15.8,9.5,80.9,0.0,9.8
2025-09-06,16.5,9.0,92.7,6.0,15.5
2025-09-07,16.3,9.4,78.1,0.3,18.6
2025-09-08,18.4,11.3,81.0,0.0,10.9
2025-09-09,14.6,9.8,82.2,0.0,22.7
2025-09-10,14.4,8.3,75.0,0.0,21.6
2025-09-11,10.1,1.0,82.3,0.0,17.8
2025-09-12,14.5,7.1,74.3,0.0,21.9
2025-09-13,21.3,12.8,73.6,0.0,11.2
2025-09-14,15.2,8.0,83.0,0.5,23.6
2025-09-15,16.8,10.3,76.5,0.0,19.7
2025-09-16,13.0,8.0,71.3,0.0,26.5
2025-09-17,15.9,6.8,94.5,0.0,2.6
2025-09-18,14.2,9.6,63.2,1.8,15.1
2025-09-19,11.7,4.9,77.4,0.0,15.3
2025-09-20,12.5,8.3,85.7,0.0,27.3
2025-09-21,14.3,9.0,75.9,2.9,15.1
2025-09-22,16.3,9.7,81.7,1.2,9.8
2025-09-23,14.6,5.5,79.1,0.0,5.1
2025-09-24,14.1,9.1,76.5,3.4,8.6
2025-09-25,13.2,8.2,84.8,8.2,29.4
2025-09-26,12.3,4.3,84.4,0.0,15.1
2025-09-27,12.4,4.4,82.3,0.0,16.1
2025-09-28,14.8,10.5,75.7,0.0,2.0
2025-09-29,14.3,7.7,72.1,3.4,17.0
2025-09-30,13.0,7.4,78.3,0.0,15.7
2025-10-01,13.9,8.1,72.9,0.0,11.0
2025-10-02,13.2,8.1,76.5,0.0,9.2
2025-10-03,8.1,2.7,79.4,0.0,9.9
2025-10-04,11.0,6.3,73.2,0.2,28.2
2025-10-05,10.8,5.7,77.3,0.0,23.5
2025-10-06,14.3,7.2,80.1,0.0,17.0
2025-10-07,16.4,9.4,69.0,2.3,20.9
2025-10-08,13.0,3.9,84.4,0.4,12.1
2025-10-09,17.2,8.8,75.1,0.0,16.3
2025-10-10,13.5,9.1,73.5,0.0,24.9
2025-10-11,11.2,2.5,78.2,1.2,19.5
2025-10-12,9.4,4.7,85.7,0.0,31.5
2025-10-13,10.1,4.5,83.5,0.0,18.1
2025-10-14,10.2,0.8,94.4,0.0,16.0
2025-10-15,14.5,5.1,81.0,0.0,22.4
2025-10-16,12.9,3.5,80.1,4.7,15.5
2025-10-17,9.4,1.9,95.1,1.8,22.5
2025-10-18,11.6,2.1,87.2,0.0,18.8
2025-10-19,11.5,4.9,76.1,2.8,25.2
2025-10-20,9.1,1.6,91.6,1.0,9.7
2025-10-21,7.5,-0.9,82.0,0.0,11.5
2025-10-22,14.1,8.4,76.8,0.0,21.9
2025-10-23,9.5,1.6,75.6,0.0,18.5
2025-10-24,12.6,6.9,71.7,8.0,14.2
2025-10-25,9.9,3.0,76.0,10.0,15.7
2025-10-26,11.9,3.2,76.1,1.3,18.4
2025-10-27,12.8,4.7,145.0,0.0,18.7
2025-10-28,6.9,0.4,86.5,0.0,20.6
2025-10-29,12.6,4.9,65.7,0.0,26.7
2025-10-30,7.9,0.7,79.7,0.0,11.9
2025-10-31,6.8,1.5,85.4,3.9,26.8
2025-11-01,6.9,-1.0,83.9,3.7,20.7
2025-11-02,9.3,4.0,82.8,0.3,18.0
2025-11-03,8.7,3.6,76.5,1.9,12.8
2025-11-04,9.0,4.4,77.3,0.0,27.6
2025-11-05,8.6,3.7,80.7,0.0,4.8
not-a-date,12.0,5.0,80.0,1.0,10.0
2025-11-06,5.3,1.1,82.6,3.1,14.3
2025-11-07,13.0,5.4,69.8,0.0,14.4
2025-11-08,6.3,1.9,87.1,1.7,2.0
2025-11-09,2.3,-2.4,73.6,0.0,10.0
2025-11-10,4.5,-0.4,91.2,0.0,30.3
2025-11-11,3.1,-1.4,86.9,0.0,27.8
2025-11-12,3.8,-3.5,83.1,0.0,17.1
2025-11-13,7.9,2.5,82.0,1.7,8.5
2025-11-14,4.1,-0.1,85.6,3.4,5.9
2025-11-15,4.6,0.6,92.5,0.0,9.6
2025-11-16,5.2,-0.5,83.4,0.0,15.3
2025-11-17,3.7,-2.5,76.2,0.0,18.1
2025-11-18,9.0,2.2,87.0,0.0,9.7
2025-11-19,8.4,-0.6,88.1,0.0,26.6
2025-11-20,7.1,-1.5,80.9,0.0,14.6
2025-11-21,9.1,2.2,75.9,0.0,22.8
2025-11-22,6.7,0.7,81.2,12.9,15.8
2025-11-23,6.6,2.2,91.9,1.8,15.2
2025-11-24,8.5,3.6,73.7,8.2,20.0
2025-11-25,6.2,-0.6,87.0,0.0,8.9
2025-11-26,4.4,-0.5,93.3,1.2,14.9
2025-11-27,9.5,0.3,83.5,0.0,16.3
2025-11-28,3.3,-2.6,82.3,0.0,10.0
2025-11-29,3.2,-4.1,77.9,0.0,17.3
2025-11-30,3.8,-0.8,87.9,0.0,17.1
2025-12-01,9.9,0.6,82.5,0.0,8.2
2025-12-02,2.6,-6.5,94.3,0.0,14.1
2025-12-03,6.9,2.1,83.1,5.2,23.2
2025-12-04,4.5,0.2,90.4,0.0,23.3
2025-12-05,7.0,1.1,81.5,14.6,13.7
2025-12-06,6.7,0.5,77.5,0.0,9.8
2025-12-07,7.6,0.1,88.4,12.2,13.3
2025-12-08,-0.3,-8.5,96.1,8.4,21.4
2025-12-09,4.6,0.0,97.0,0.0,24.0
2025-12-10,7.1,-0.4,92.3,0.0,16.6
2025-12-11,5.4,-2.0,84.9,1.7,12.5
2025-12-12,6.9,-2.0,78.4,0.0,16.7
2025-12-13,9.2,1.1,89.4,0.0,18.8
2025-12-14,9.7,1.7,84.3,0.0,21.9
2025-12-15,4.8,-2.6,86.9,0.0,21.8
2025-12-16,7.3,0.8,80.9,1.6,23.4
2025-12-17,7.6,1.1,83.9,0.0,19.4
2025-12-18,8.4,4.3,73.7,0.0,22.1
2025-12-19,1.7,-2.6,95.6,0.0,23.8
2025-12-20,6.2,0.7,85.7,0.0,22.9
2025-12-21,4.9,0.0,80.6,0.0,17.5
2025-12-22,4.5,-3.4,81.7,0.2,18.3
2025-12-23,3.8,-1.5,89.7,6.9,18.9
2025-12-24,4.7,-2.5,84.8,7.3,10.6
2025-12-25,2.3,-4.3,93.8,14.6,17.2
2025-12-26,7.4,0.0,78.5,0.0,8.5
2025-12-27,8.0,0.5,78.2,0.0,7.9
2025-12-28,5.3,-1.6,78.1,3.3,19.8
2025-12-29,4.8,0.4,86.8,15.5,30.2
2025-12-30,3.9,-1.1,86.1,0.0,30.4
2025-12-31,8.4,1.4,82.2,4.8,12.4
